column_a,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,fulldate,fulltime,fulldatewithtime,date
242056,T00252752,A00000866,Debit,Remittance to Another Bank,465.0,37999.8,Household,State Street Corp.,81990486.0,2015,12,8,2015-12-08,09:29:36,2015-12-08T09:29:36,2015-12-08
242542,T01424475,A00004852,Credit,Credit in Cash,6600.0,31657.7,,,,2015,12,9,2015-12-09,10:43:08,2015-12-09T10:43:08,2015-12-09
242867,T00435316,A00001479,Debit,Remittance to Another Bank,2162.0,27448.3,Household,TD Bank,35573202.0,2015,12,10,2015-12-10,11:60:44,2015-12-10T11:60:44,2015-12-10
243063,T00005264,A00000022,Debit,Remittance to Another Bank,6352.0,25581.7,Household,Capital One,34691494.0,2015,12,10,2015-12-10,15:53:56,2015-12-10T15:53:56,2015-12-10
243193,T00252824,A00000866,Debit,Remittance to Another Bank,38.0,37961.8, ,Citigroup,26753026.0,2015,12,10,2015-12-10,13:28:33,2015-12-10T13:28:33,2015-12-10
243793,T00252680,A00000866,Credit,Credit in Cash,18966.0,56927.8,,,,2015,12,11,2015-12-11,15:33:45,2015-12-11T15:33:45,2015-12-11
244385,T00005204,A00000022,Credit,Credit in Cash,25310.0,50891.7,,,,2015,12,12,2015-12-12,08:45:02,2015-12-12T08:45:02,2015-12-12
244454,T01424238,A00004852,Credit,Credit in Cash,10786.0,42443.7,,,,2015,12,12,2015-12-12,12:46:48,2015-12-12T12:46:48,2015-12-12
245036,T00005422,A00000022,Debit,Cash Withdrawal,11400.0,39491.7,,,,2015,12,13,2015-12-13,10:14:02,2015-12-13T10:14:02,2015-12-13
245988,T01424408,A00004852,Debit,Cash Withdrawal,5040.0,37403.7,,,,2015,12,15,2015-12-15,16:10:35,2015-12-15T16:10:35,2015-12-15
246446,T00435361,A00001479,Debit,Cash Withdrawal,270.0,27178.3,,,,2015,12,18,2015-12-18,10:22:15,2015-12-18T10:22:15,2015-12-18
247245,T00253019,A00000866,Debit,Cash Withdrawal,2500.0,54427.8,,,,2015,12,22,2015-12-22,13:05:30,2015-12-22T13:05:30,2015-12-22
247917,T01424334,A00004852,Debit,Cash Withdrawal,5600.0,31803.7,,,0.0,2015,12,26,2015-12-26,12:50:18,2015-12-26T12:50:18,2015-12-26
247934,T00253197,A00000866,Debit,Cash Withdrawal,11200.0,43227.8,,,,2015,12,26,2015-12-26,15:14:09,2015-12-26T15:14:09,2015-12-26
248500,T00435461,A00001479,Debit,Cash Withdrawal,1400.0,25778.3,,,,2015,12,30,2015-12-30,12:59:37,2015-12-30T12:59:37,2015-12-30
248928,T03579077,A00001479,Credit,,112.2,25890.5,Interest Credited,,,2015,12,31,2015-12-31,12:06:29,2015-12-31T12:06:29,2015-12-31
249132,T03558833,A00000866,Credit,,202.4,43430.2,Interest Credited,,,2015,12,31,2015-12-31,16:47:24,2015-12-31T16:47:24,2015-12-31
250079,T00435417,A00001479,Debit,Cash Withdrawal,14.6,25875.9,Payment on Statement,,,2015,12,31,2015-12-31,13:59:35,2015-12-31T13:59:35,2015-12-31
251622,T00005366,A00000022,Debit,Cash Withdrawal,14.6,39631.7,Payment on Statement,,,2015,12,31,2015-12-31,14:25:07,2015-12-31T14:25:07,2015-12-31
251818,T01424432,A00004852,Debit,Cash Withdrawal,14.6,31933.2,Payment on Statement,,,2015,12,31,2015-12-31,09:44:56,2015-12-31T09:44:56,2015-12-31
252092,T03667368,A00004852,Credit,,144.0,31947.8,Interest Credited,,,2015,12,31,2015-12-31,16:08:04,2015-12-31T16:08:04,2015-12-31
252577,T00253126,A00000866,Debit,Cash Withdrawal,14.6,43415.6,Payment on Statement,,,2015,12,31,2015-12-31,11:37:13,2015-12-31T11:37:13,2015-12-31
252674,T03530988,A00000022,Credit,,154.6,39646.3,Interest Credited,,,2015,12,31,2015-12-31,12:13:00,2015-12-31T12:13:00,2015-12-31
253242,T00253046,A00000866,Debit,Cash Withdrawal,1600.0,41815.6,,,,2016,1,1,2016-01-01,09:07:07,2016-01-01T09:07:07,2016-01-01
254065,T00253044,A00000866,Debit,Cash Withdrawal,1000.0,40815.6,,,,2016,1,3,2016-01-03,14:28:12,2016-01-03T14:28:12,2016-01-03
255333,T00252969,A00000866,Debit,Remittance to Another Bank,3844.0,36971.6, ,U.S. Bancorp,70676672.0,2016,1,5,2016-01-05,15:09:50,2016-01-05T15:09:50,2016-01-05
255665,T00435269,A00001479,Credit,Collection from Another Bank,3244.0,29119.9,,Wells Fargo & Co.,79756843.0,2016,1,6,2016-01-06,16:11:24,2016-01-06T16:11:24,2016-01-06
255666,T00435372,A00001479,Debit,Cash Withdrawal,480.0,28639.9,,,,2016,1,6,2016-01-06,16:20:08,2016-01-06T16:20:08,2016-01-06
256020,T01424287,A00004852,Debit,Remittance to Another Bank,4794.0,27139.2,Household,TD Bank,23212576.0,2016,1,6,2016-01-06,16:58:03,2016-01-06T16:58:03,2016-01-06
256521,T00435397,A00001479,Debit,Cash Withdrawal,930.0,27709.9,,,,2016,1,7,2016-01-07,15:43:29,2016-01-07T15:43:29,2016-01-07
257701,T01424476,A00004852,Credit,Credit in Cash,6400.0,33539.2,,,,2016,1,8,2016-01-08,14:31:08,2016-01-08T14:31:08,2016-01-08
257702,T01424335,A00004852,Debit,Cash Withdrawal,5200.0,28339.2,,,0.0,2016,1,8,2016-01-08,11:15:54,2016-01-08T11:15:54,2016-01-08
257703,T01424376,A00004852,Debit,Cash Withdrawal,8160.0,20179.2,,,,2016,1,8,2016-01-08,15:24:56,2016-01-08T15:24:56,2016-01-08
257825,T00252897,A00000866,Debit,Remittance to Another Bank,504.0,36002.6,Insurance Payment,Bank of America,94022661.0,2016,1,8,2016-01-08,16:01:50,2016-01-08T16:01:50,2016-01-08
257826,T00252753,A00000866,Debit,Remittance to Another Bank,465.0,36506.6,Household,State Street Corp.,81990486.0,2016,1,8,2016-01-08,16:32:27,2016-01-08T16:32:27,2016-01-08
259020,T00435371,A00001479,Debit,Cash Withdrawal,480.0,27229.9,,,,2016,1,10,2016-01-10,16:42:11,2016-01-10T16:42:11,2016-01-10
259021,T00435317,A00001479,Debit,Remittance to Another Bank,2162.0,25067.9,Household,TD Bank,35573202.0,2016,1,10,2016-01-10,16:24:41,2016-01-10T16:24:41,2016-01-10
259312,T00005265,A00000022,Debit,Remittance to Another Bank,6352.0,33279.7,Household,Capital One,34691494.0,2016,1,10,2016-01-10,13:08:37,2016-01-10T13:08:37,2016-01-10
259485,T00252825,A00000866,Debit,Remittance to Another Bank,38.0,34864.6, ,Citigroup,26753026.0,2016,1,10,2016-01-10,15:12:57,2016-01-10T15:12:57,2016-01-10
259486,T00253042,A00000866,Debit,Cash Withdrawal,1100.0,34902.6,,,,2016,1,10,2016-01-10,16:26:04,2016-01-10T16:26:04,2016-01-10
259863,T00435376,A00001479,Debit,Cash Withdrawal,750.0,24317.9,,,,2016,1,11,2016-01-11,10:01:36,2016-01-11T10:01:36,2016-01-11
260369,T00252681,A00000866,Credit,Credit in Cash,12644.0,47508.6,,,,2016,1,11,2016-01-11,10:49:48,2016-01-11T10:49:48,2016-01-11
261193,T00005205,A00000022,Credit,Credit in Cash,16873.0,50152.7,,,,2016,1,12,2016-01-12,16:48:16,2016-01-12T16:48:16,2016-01-12
261197,T00005423,A00000022,Debit,Cash Withdrawal,13700.0,36452.7,,,,2016,1,12,2016-01-12,13:50:25,2016-01-12T13:50:25,2016-01-12
261276,T01424239,A00004852,Credit,Credit in Cash,7191.0,27370.2,,,,2016,1,12,2016-01-12,10:52:27,2016-01-12T10:52:27,2016-01-12
261281,T01424390,A00004852,Debit,Cash Withdrawal,960.0,26410.2,,,,2016,1,12,2016-01-12,14:50:08,2016-01-12T14:50:08,2016-01-12
261797,T00435358,A00001479,Debit,Cash Withdrawal,660.0,23657.9,,,,2016,1,13,2016-01-13,09:46:00,2016-01-13T09:46:00,2016-01-13
262168,T01424391,A00004852,Debit,Cash Withdrawal,960.0,25450.2,,,,2016,1,13,2016-01-13,10:31:33,2016-01-13T10:31:33,2016-01-13
263058,T01424393,A00004852,Debit,Cash Withdrawal,2160.0,23290.2,,,,2016,1,14,2016-01-14,13:09:10,2016-01-14T13:09:10,2016-01-14
264115,T00253043,A00000866,Debit,Cash Withdrawal,800.0,46708.6,,,,2016,1,16,2016-01-16,11:60:31,2016-01-16T11:60:31,2016-01-16
264304,T00435375,A00001479,Debit,Cash Withdrawal,540.0,23117.9,,,,2016,1,17,2016-01-17,09:03:07,2016-01-17T09:03:07,2016-01-17
264549,T00253014,A00000866,Debit,Cash Withdrawal,4300.0,42408.6,,,,2016,1,17,2016-01-17,15:59:05,2016-01-17T15:59:05,2016-01-17
266818,T00435373,A00001479,Debit,Cash Withdrawal,780.0,22337.9,,,,2016,1,23,2016-01-23,12:46:59,2016-01-23T12:46:59,2016-01-23
266999,T01424389,A00004852,Debit,Cash Withdrawal,2520.0,20770.2,,,,2016,1,23,2016-01-23,15:58:53,2016-01-23T15:58:53,2016-01-23
267863,T00253045,A00000866,Debit,Cash Withdrawal,800.0,41608.6,,,,2016,1,25,2016-01-25,10:28:48,2016-01-25T10:28:48,2016-01-25
267864,T00253198,A00000866,Debit,Cash Withdrawal,4800.0,36808.6,,,,2016,1,25,2016-01-25,15:39:19,2016-01-25T15:39:19,2016-01-25
268183,T01424394,A00004852,Debit,Cash Withdrawal,2880.0,17890.2,,,,2016,1,26,2016-01-26,14:20:06,2016-01-26T14:20:06,2016-01-26
268576,T00005308,A00000022,Debit,Cash Withdrawal,7200.0,29252.7,,,,2016,1,27,2016-01-27,12:49:55,2016-01-27T12:49:55,2016-01-27
268834,T00435374,A00001479,Debit,Cash Withdrawal,420.0,21917.9,,,,2016,1,28,2016-01-28,13:49:36,2016-01-28T13:49:36,2016-01-28
269026,T01424392,A00004852,Debit,Cash Withdrawal,840.0,17050.2,,,,2016,1,28,2016-01-28,09:47:53,2016-01-28T09:47:53,2016-01-28
269082,T00253079,A00000866,Debit,Cash Withdrawal,1300.0,35508.6,,,,2016,1,28,2016-01-28,09:28:14,2016-01-28T09:28:14,2016-01-28
269232,T00435462,A00001479,Credit,Credit in Cash,4600.0,26517.9,,,,2016,1,29,2016-01-29,14:55:57,2016-01-29T14:55:57,2016-01-29
269793,T00253041,A00000866,Debit,Cash Withdrawal,2100.0,33408.6,,,,2016,1,30,2016-01-30,16:22:38,2016-01-30T16:22:38,2016-01-30
270165,T03579078,A00001479,Credit,,102.3,26620.1,Interest Credited,,,2016,1,31,2016-01-31,10:20:04,2016-01-31T10:20:04,2016-01-31
270336,T03558834,A00000866,Credit,,167.5,33576.1,Interest Credited,,,2016,1,31,2016-01-31,11:32:27,2016-01-31T11:32:27,2016-01-31
271347,T00435418,A00001479,Debit,Cash Withdrawal,14.6,26605.5,Payment on Statement,,,2016,1,31,2016-01-31,14:03:53,2016-01-31T14:03:53,2016-01-31
272970,T00005367,A00000022,Debit,Cash Withdrawal,14.6,29389.4,Payment on Statement,,,2016,1,31,2016-01-31,09:36:36,2016-01-31T09:36:36,2016-01-31
273185,T01424433,A00004852,Debit,Cash Withdrawal,14.6,17138.2,Payment on Statement,,,2016,1,31,2016-01-31,16:51:36,2016-01-31T16:51:36,2016-01-31
273465,T03667369,A00004852,Credit,,102.6,17152.8,Interest Credited,,,2016,1,31,2016-01-31,10:52:39,2016-01-31T10:52:39,2016-01-31
273972,T00253127,A00000866,Debit,Cash Withdrawal,14.6,33561.5,Payment on Statement,,,2016,1,31,2016-01-31,11:44:45,2016-01-31T11:44:45,2016-01-31
274048,T03530989,A00000022,Credit,,151.3,29404.0,Interest Credited,,,2016,1,31,2016-01-31,11:53:12,2016-01-31T11:53:12,2016-01-31
275262,T00252970,A00000866,Debit,Remittance to Another Bank,3844.0,29717.5, ,U.S. Bancorp,70676672.0,2016,2,5,2016-02-05,12:34:19,2016-02-05T12:34:19,2016-02-05
275502,T00435270,A00001479,Credit,Collection from Another Bank,3244.0,29849.5,,Wells Fargo & Co.,79756843.0,2016,2,6,2016-02-06,13:60:50,2016-02-06T13:60:50,2016-02-06
275721,T01424288,A00004852,Debit,Remittance to Another Bank,4794.0,12344.2,Household,TD Bank,23212576.0,2016,2,6,2016-02-06,13:37:04,2016-02-06T13:37:04,2016-02-06
276266,T01424477,A00004852,Credit,Credit in Cash,13600.0,25944.2,,,,2016,2,7,2016-02-07,13:11:59,2016-02-07T13:11:59,2016-02-07
276392,T00731133,A00002499,Credit,Credit in Cash,400.0,400.0,,,,2016,2,8,2016-02-08,11:53:04,2016-02-08T11:53:04,2016-02-08
276882,T00252754,A00000866,Debit,Remittance to Another Bank,465.0,28748.5,Household,State Street Corp.,81990486.0,2016,2,8,2016-02-08,16:17:30,2016-02-08T16:17:30,2016-02-08
276884,T00252898,A00000866,Debit,Remittance to Another Bank,504.0,29213.5,Insurance Payment,Bank of America,94022661.0,2016,2,8,2016-02-08,08:07:18,2016-02-08T08:07:18,2016-02-08
277646,T00435318,A00001479,Debit,Remittance to Another Bank,2162.0,27687.5,Household,TD Bank,35573202.0,2016,2,10,2016-02-10,12:09:47,2016-02-10T12:09:47,2016-02-10
277834,T00005266,A00000022,Debit,Remittance to Another Bank,6352.0,23037.4,Household,Capital One,34691494.0,2016,2,10,2016-02-10,11:14:17,2016-02-10T11:14:17,2016-02-10
277937,T00252826,A00000866,Debit,Remittance to Another Bank,38.0,28710.5, ,Citigroup,26753026.0,2016,2,10,2016-02-10,14:15:07,2016-02-10T14:15:07,2016-02-10
278377,T00005424,A00000022,Credit,Credit in Cash,2000.0,25037.4,,,,2016,2,11,2016-02-11,08:49:56,2016-02-11T08:49:56,2016-02-11
278498,T00252682,A00000866,Credit,Credit in Cash,12644.0,41354.5,,,,2016,2,11,2016-02-11,16:29:30,2016-02-11T16:29:30,2016-02-11
278565,T00731135,A00002499,Credit,Credit in Cash,5855.0,6255.0,,,,2016,2,12,2016-02-12,14:37:51,2016-02-12T14:37:51,2016-02-12
279073,T00005206,A00000022,Credit,Credit in Cash,16873.0,41910.4,,,,2016,2,12,2016-02-12,13:60:35,2016-02-12T13:60:35,2016-02-12
279143,T01424240,A00004852,Credit,Credit in Cash,7191.0,33135.2,,,,2016,2,12,2016-02-12,09:52:20,2016-02-12T09:52:20,2016-02-12
280550,T01424336,A00004852,Debit,Cash Withdrawal,5900.0,27235.2,,,0.0,2016,2,15,2016-02-15,11:25:47,2016-02-15T11:25:47,2016-02-15
281711,T00253199,A00000866,Debit,Cash Withdrawal,1900.0,39454.5,,,,2016,2,24,2016-02-24,13:17:08,2016-02-24T13:17:08,2016-02-24
282097,T00253078,A00000866,Debit,Cash Withdrawal,1000.0,38454.5,,,,2016,2,27,2016-02-27,10:15:37,2016-02-27T10:15:37,2016-02-27
282133,T00435463,A00001479,Credit,Credit in Cash,1700.0,29387.5,,,,2016,2,28,2016-02-28,08:47:60,2016-02-28T08:47:60,2016-02-28
282544,T03579079,A00001479,Credit,,114.4,29501.9,Interest Credited,,,2016,2,29,2016-02-29,11:51:25,2016-02-29T11:51:25,2016-02-29
282731,T03558835,A00000866,Credit,,155.3,38609.8,Interest Credited,,,2016,2,29,2016-02-29,13:05:17,2016-02-29T13:05:17,2016-02-29
283766,T00435419,A00001479,Debit,Cash Withdrawal,14.6,29487.3,Payment on Statement,,,2016,2,29,2016-02-29,12:15:12,2016-02-29T12:15:12,2016-02-29
285444,T00005368,A00000022,Debit,Cash Withdrawal,14.6,42049.5,Payment on Statement,,,2016,2,29,2016-02-29,13:20:60,2016-02-29T13:20:60,2016-02-29
285656,T01424434,A00004852,Debit,Cash Withdrawal,14.6,27326.7,Payment on Statement,,,2016,2,29,2016-02-29,10:59:14,2016-02-29T10:59:14,2016-02-29
285829,T03612849,A00002499,Credit,,16.2,6271.2,Interest Credited,,,2016,2,29,2016-02-29,09:06:36,2016-02-29T09:06:36,2016-02-29
285916,T03667370,A00004852,Credit,,106.1,27341.3,Interest Credited,,,2016,2,29,2016-02-29,14:15:31,2016-02-29T14:15:31,2016-02-29
286468,T00253128,A00000866,Debit,Cash Withdrawal,14.6,38595.2,Payment on Statement,,,2016,2,29,2016-02-29,15:28:50,2016-02-29T15:28:50,2016-02-29
286562,T03530990,A00000022,Credit,,153.7,42064.1,Interest Credited,,,2016,2,29,2016-02-29,11:41:37,2016-02-29T11:41:37,2016-02-29
286809,T00358047,A00001216,Credit,Credit in Cash,500.0,500.0,,,,2016,3,1,2016-03-01,11:43:21,2016-03-01T11:43:21,2016-03-01
287447,T00358050,A00001216,Credit,Collection from Another Bank,3524.0,4024.0,,PNC Financial Services,67353.0,2016,3,5,2016-03-05,08:58:26,2016-03-05T08:58:26,2016-03-05
287816,T00252971,A00000866,Debit,Remittance to Another Bank,3844.0,34751.2, ,U.S. Bancorp,70676672.0,2016,3,5,2016-03-05,10:14:43,2016-03-05T10:14:43,2016-03-05
288050,T00435271,A00001479,Credit,Collection from Another Bank,3244.0,32731.3,,Wells Fargo & Co.,79756843.0,2016,3,6,2016-03-06,13:40:47,2016-03-06T13:40:47,2016-03-06
288271,T01424289,A00004852,Debit,Remittance to Another Bank,4794.0,22532.7,Household,TD Bank,23212576.0,2016,3,6,2016-03-06,16:21:00,2016-03-06T16:21:00,2016-03-06
289414,T01424478,A00004852,Credit,Credit in Cash,8100.0,30632.7,,,,2016,3,8,2016-03-08,15:40:16,2016-03-08T15:40:16,2016-03-08
289484,T00252755,A00000866,Debit,Remittance to Another Bank,465.0,34286.2,Household,State Street Corp.,81990486.0,2016,3,8,2016-03-08,10:33:13,2016-03-08T10:33:13,2016-03-08
289485,T00252899,A00000866,Debit,Remittance to Another Bank,504.0,33782.2,Insurance Payment,Bank of America,94022661.0,2016,3,8,2016-03-08,15:40:50,2016-03-08T15:40:50,2016-03-08
289542,T00731355,A00002499,Credit,Credit in Cash,12200.0,18471.2,,,,2016,3,9,2016-03-09,16:36:48,2016-03-09T16:36:48,2016-03-09
290332,T00435319,A00001479,Debit,Remittance to Another Bank,2162.0,30569.3,Household,TD Bank,35573202.0,2016,3,10,2016-03-10,09:29:44,2016-03-10T09:29:44,2016-03-10
290514,T00005267,A00000022,Debit,Remittance to Another Bank,6352.0,35697.5,Household,Capital One,34691494.0,2016,3,10,2016-03-10,15:00:24,2016-03-10T15:00:24,2016-03-10
290623,T00252827,A00000866,Debit,Remittance to Another Bank,38.0,33744.2, ,Citigroup,26753026.0,2016,3,10,2016-03-10,12:34:26,2016-03-10T12:34:26,2016-03-10
291205,T00252683,A00000866,Credit,Credit in Cash,12644.0,46388.2,,,,2016,3,11,2016-03-11,13:25:30,2016-03-11T13:25:30,2016-03-11
291266,T00731136,A00002499,Credit,Credit in Cash,5855.0,24326.2,,,,2016,3,12,2016-03-12,09:06:38,2016-03-12T09:06:38,2016-03-12
291811,T00005207,A00000022,Credit,Credit in Cash,16873.0,52570.5,,,,2016,3,12,2016-03-12,16:27:43,2016-03-12T16:27:43,2016-03-12
291819,T00005425,A00000022,Debit,Cash Withdrawal,10800.0,41770.5,,,,2016,3,12,2016-03-12,13:53:58,2016-03-12T13:53:58,2016-03-12
291881,T01424241,A00004852,Credit,Credit in Cash,7191.0,37823.7,,,,2016,3,12,2016-03-12,08:10:05,2016-03-12T08:10:05,2016-03-12
291886,T01424337,A00004852,Debit,Remittance to Another Bank,5925.0,31898.7,Loan Payment,State Street Corp.,98242383.0,2016,3,12,2016-03-12,08:01:48,2016-03-12T08:01:48,2016-03-12
293708,T00435395,A00001479,Debit,Cash Withdrawal,1260.0,29309.3,,,,2016,3,18,2016-03-18,13:45:39,2016-03-18T13:45:39,2016-03-18
294721,T00253200,A00000866,Debit,Cash Withdrawal,8400.0,37988.2,,,,2016,3,25,2016-03-25,15:58:20,2016-03-25T15:58:20,2016-03-25
295149,T00435464,A00001479,Debit,Cash Withdrawal,1200.0,28109.3,,,,2016,3,29,2016-03-29,11:31:48,2016-03-29T11:31:48,2016-03-29
295692,T03579080,A00001479,Credit,,123.1,28232.5,Interest Credited,,,2016,3,31,2016-03-31,11:35:09,2016-03-31T11:35:09,2016-03-31
295925,T03558836,A00000866,Credit,,171.2,38159.4,Interest Credited,,,2016,3,31,2016-03-31,15:47:55,2016-03-31T15:47:55,2016-03-31
296935,T00358176,A00001216,Credit,Credit in Cash,9600.0,13624.0,,,,2016,3,31,2016-03-31,10:36:32,2016-03-31T10:36:32,2016-03-31
296952,T00435420,A00001479,Debit,Cash Withdrawal,14.6,28217.9,Payment on Statement,,,2016,3,31,2016-03-31,10:48:11,2016-03-31T10:48:11,2016-03-31
298701,T00005369,A00000022,Debit,Cash Withdrawal,14.6,41957.3,Payment on Statement,,,2016,3,31,2016-03-31,14:06:54,2016-03-31T14:06:54,2016-03-31
298924,T01424435,A00004852,Debit,Cash Withdrawal,14.6,32026.8,Payment on Statement,,,2016,3,31,2016-03-31,10:59:00,2016-03-31T10:59:00,2016-03-31
299103,T03612850,A00002499,Credit,,74.6,24400.8,Interest Credited,,,2016,3,31,2016-03-31,16:16:17,2016-03-31T16:16:17,2016-03-31
299232,T03667371,A00004852,Credit,,142.7,32041.4,Interest Credited,,,2016,3,31,2016-03-31,16:22:15,2016-03-31T16:22:15,2016-03-31
299392,T03570660,A00001216,Credit,,15.9,13639.9,Interest Credited,,,2016,3,31,2016-03-31,16:10:37,2016-03-31T16:10:37,2016-03-31
299761,T00253129,A00000866,Debit,Cash Withdrawal,14.6,38144.8,Payment on Statement,,,2016,3,31,2016-03-31,12:08:22,2016-03-31T12:08:22,2016-03-31
299855,T03530991,A00000022,Credit,,201.5,41971.9,Interest Credited,,,2016,3,31,2016-03-31,16:44:45,2016-03-31T16:44:45,2016-03-31
300776,T00358051,A00001216,Credit,Collection from Another Bank,3524.0,17163.9,,PNC Financial Services,67353.0,2016,4,5,2016-04-05,12:25:52,2016-04-05T12:25:52,2016-04-05
301152,T00252972,A00000866,Debit,Remittance to Another Bank,3844.0,34300.8, ,U.S. Bancorp,70676672.0,2016,4,5,2016-04-05,13:13:57,2016-04-05T13:13:57,2016-04-05
301408,T00435272,A00001479,Credit,Collection from Another Bank,3244.0,31461.9,,Wells Fargo & Co.,79756843.0,2016,4,6,2016-04-06,14:12:21,2016-04-06T14:12:21,2016-04-06
301638,T01424290,A00004852,Debit,Remittance to Another Bank,4794.0,27232.8,Household,TD Bank,23212576.0,2016,4,6,2016-04-06,09:45:52,2016-04-06T09:45:52,2016-04-06
302239,T01424479,A00004852,Credit,Credit in Cash,4700.0,31932.8,,,,2016,4,7,2016-04-07,11:52:25,2016-04-07T11:52:25,2016-04-07
302378,T00731356,A00002499,Credit,Credit in Cash,2300.0,26700.8,,,,2016,4,8,2016-04-08,14:42:07,2016-04-08T14:42:07,2016-04-08
302891,T00252756,A00000866,Debit,Remittance to Another Bank,465.0,33835.8,Household,State Street Corp.,81990486.0,2016,4,8,2016-04-08,13:40:58,2016-04-08T13:40:58,2016-04-08
302892,T00252900,A00000866,Debit,Remittance to Another Bank,504.0,33331.8,Insurance Payment,Bank of America,94022661.0,2016,4,8,2016-04-08,11:17:48,2016-04-08T11:17:48,2016-04-08
303745,T00435320,A00001479,Debit,Remittance to Another Bank,2162.0,29299.9,Household,TD Bank,35573202.0,2016,4,10,2016-04-10,10:38:50,2016-04-10T10:38:50,2016-04-10
303951,T00005268,A00000022,Debit,Remittance to Another Bank,6352.0,35605.3,Household,Capital One,34691494.0,2016,4,10,2016-04-10,10:42:60,2016-04-10T10:42:60,2016-04-10
304070,T00252828,A00000866,Debit,Remittance to Another Bank,38.0,33293.8, ,Citigroup,26753026.0,2016,4,10,2016-04-10,12:41:40,2016-04-10T12:41:40,2016-04-10
304551,T00005426,A00000022,Debit,Cash Withdrawal,1700.0,33905.3,,,,2016,4,11,2016-04-11,08:22:57,2016-04-11T08:22:57,2016-04-11
304669,T00252684,A00000866,Credit,Credit in Cash,12644.0,45937.8,,,,2016,4,11,2016-04-11,10:26:41,2016-04-11T10:26:41,2016-04-11
304736,T00731137,A00002499,Credit,Credit in Cash,5855.0,32555.8,,,,2016,4,12,2016-04-12,08:44:23,2016-04-12T08:44:23,2016-04-12
305296,T00005208,A00000022,Credit,Credit in Cash,16873.0,50778.3,,,,2016,4,12,2016-04-12,15:41:20,2016-04-12T15:41:20,2016-04-12
305361,T01424338,A00004852,Debit,Remittance to Another Bank,5925.0,33198.8,Loan Payment,State Street Corp.,98242383.0,2016,4,12,2016-04-12,08:00:60,2016-04-12T08:00:60,2016-04-12
305363,T01424242,A00004852,Credit,Credit in Cash,7191.0,39123.8,,,,2016,4,12,2016-04-12,10:30:60,2016-04-12T10:30:60,2016-04-12
308221,T00253201,A00000866,Debit,Cash Withdrawal,6500.0,39437.8,,,,2016,4,24,2016-04-24,14:46:43,2016-04-24T14:46:43,2016-04-24
308331,T00005328,A00000022,Debit,Cash Withdrawal,4800.0,45978.3,,,,2016,4,25,2016-04-25,12:55:25,2016-04-25T12:55:25,2016-04-25
308363,T00253075,A00000866,Debit,Cash Withdrawal,700.0,38737.8,,,,2016,4,25,2016-04-25,15:45:24,2016-04-25T15:45:24,2016-04-25
308704,T00435465,A00001479,Debit,Cash Withdrawal,1300.0,27999.9,,,,2016,4,28,2016-04-28,15:08:31,2016-04-28T15:08:31,2016-04-28
309260,T03579081,A00001479,Credit,,120.1,28120.0,Interest Credited,,,2016,4,30,2016-04-30,12:50:42,2016-04-30T12:50:42,2016-04-30
309483,T03558837,A00000866,Credit,,169.8,38907.6,Interest Credited,,,2016,4,30,2016-04-30,15:25:50,2016-04-30T15:25:50,2016-04-30
310570,T00358177,A00001216,Credit,Credit in Cash,1200.0,18363.9,,,,2016,4,30,2016-04-30,12:43:29,2016-04-30T12:43:29,2016-04-30
310586,T00435421,A00001479,Debit,Cash Withdrawal,14.6,28105.4,Payment on Statement,,,2016,4,30,2016-04-30,14:41:15,2016-04-30T14:41:15,2016-04-30
312391,T00005370,A00000022,Debit,Cash Withdrawal,14.6,46156.1,Payment on Statement,,,2016,4,30,2016-04-30,10:06:53,2016-04-30T10:06:53,2016-04-30
312626,T01424436,A00004852,Debit,Cash Withdrawal,14.6,33334.9,Payment on Statement,,,2016,4,30,2016-04-30,14:22:56,2016-04-30T14:22:56,2016-04-30
312797,T03612851,A00002499,Credit,,123.1,32678.9,Interest Credited,,,2016,4,30,2016-04-30,08:00:16,2016-04-30T08:00:16,2016-04-30
312920,T03667372,A00004852,Credit,,150.8,33349.5,Interest Credited,,,2016,4,30,2016-04-30,08:04:35,2016-04-30T08:04:35,2016-04-30
313151,T03570661,A00001216,Credit,,57.4,18421.3,Interest Credited,,,2016,4,30,2016-04-30,08:35:24,2016-04-30T08:35:24,2016-04-30
313507,T00253130,A00000866,Debit,Cash Withdrawal,14.6,38893.0,Payment on Statement,,,2016,4,30,2016-04-30,15:42:51,2016-04-30T15:42:51,2016-04-30
313599,T03530992,A00000022,Credit,,192.4,46170.7,Interest Credited,,,2016,4,30,2016-04-30,12:49:37,2016-04-30T12:49:37,2016-04-30
314596,T00358052,A00001216,Credit,Collection from Another Bank,3524.0,21945.3,,PNC Financial Services,67353.0,2016,5,5,2016-05-05,14:40:17,2016-05-05T14:40:17,2016-05-05
314968,T00252973,A00000866,Debit,Remittance to Another Bank,3844.0,35049.0, ,U.S. Bancorp,70676672.0,2016,5,5,2016-05-05,10:48:54,2016-05-05T10:48:54,2016-05-05
315227,T00435273,A00001479,Credit,Collection from Another Bank,3244.0,31349.4,,Wells Fargo & Co.,79756843.0,2016,5,6,2016-05-06,16:15:08,2016-05-06T16:15:08,2016-05-06
315455,T01424291,A00004852,Debit,Remittance to Another Bank,4794.0,28540.9,Household,TD Bank,23212576.0,2016,5,6,2016-05-06,11:22:08,2016-05-06T11:22:08,2016-05-06
